ID,Month,Day of month,OrdinalDay,Mar2FebWeeks
1,3,1,1,1
2,3,2,2,1
3,3,3,3,1
4,3,4,4,1
5,3,5,5,1
6,3,6,6,1
7,3,7,7,1
8,3,8,8,2
9,3,9,9,2
10,3,10,10,2
11,3,11,11,2
12,3,12,12,2
13,3,13,13,2
14,3,14,14,2
15,3,15,15,3
16,3,16,16,3
17,3,17,17,3
18,3,18,18,3
19,3,19,19,3
20,3,20,20,3
21,3,21,21,3
22,3,22,22,4
23,3,23,23,4
24,3,24,24,4
25,3,25,25,4
26,3,26,26,4
27,3,27,27,4
28,3,28,28,4
29,3,29,29,5
30,3,30,30,5
31,3,31,31,5
32,4,1,32,5
33,4,2,33,5
34,4,3,34,5
35,4,4,35,5
36,4,5,36,6
37,4,6,37,6
38,4,7,38,6
39,4,8,39,6
40,4,9,40,6
41,4,10,41,6
42,4,11,42,6
43,4,12,43,7
44,4,13,44,7
45,4,14,45,7
46,4,15,46,7
47,4,16,47,7
48,4,17,48,7
49,4,18,49,7
50,4,19,50,8
51,4,20,51,8
52,4,21,52,8
53,4,22,53,8
54,4,23,54,8
55,4,24,55,8
56,4,25,56,8
57,4,26,57,9
58,4,27,58,9
59,4,28,59,9
60,4,29,60,9
61,4,30,61,9
62,5,1,62,9
63,5,2,63,9
64,5,3,64,10
65,5,4,65,10
66,5,5,66,10
67,5,6,67,10
68,5,7,68,10
69,5,8,69,10
70,5,9,70,10
71,5,10,71,11
72,5,11,72,11
73,5,12,73,11
74,5,13,74,11
75,5,14,75,11
76,5,15,76,11
77,5,16,77,11
78,5,17,78,12
79,5,18,79,12
80,5,19,80,12
81,5,20,81,12
82,5,21,82,12
83,5,22,83,12
84,5,23,84,12
85,5,24,85,13
86,5,25,86,13
87,5,26,87,13
88,5,27,88,13
89,5,28,89,13
90,5,29,90,13
91,5,30,91,13
92,5,31,92,14
93,6,1,93,14
94,6,2,94,14
95,6,3,95,14
96,6,4,96,14
97,6,5,97,14
98,6,6,98,14
99,6,7,99,15
100,6,8,100,15
101,6,9,101,15
102,6,10,102,15
103,6,11,103,15
104,6,12,104,15
105,6,13,105,15
106,6,14,106,16
107,6,15,107,16
108,6,16,108,16
109,6,17,109,16
110,6,18,110,16
111,6,19,111,16
112,6,20,112,16
113,6,21,113,17
114,6,22,114,17
115,6,23,115,17
116,6,24,116,17
117,6,25,117,17
118,6,26,118,17
119,6,27,119,17
120,6,28,120,18
121,6,29,121,18
122,6,30,122,18
123,7,1,123,18
124,7,2,124,18
125,7,3,125,18
126,7,4,126,18
127,7,5,127,19
128,7,6,128,19
129,7,7,129,19
130,7,8,130,19
131,7,9,131,19
132,7,10,132,19
133,7,11,133,19
134,7,12,134,20
135,7,13,135,20
136,7,14,136,20
137,7,15,137,20
138,7,16,138,20
139,7,17,139,20
140,7,18,140,20
141,7,19,141,21
142,7,20,142,21
143,7,21,143,21
144,7,22,144,21
145,7,23,145,21
146,7,24,146,21
147,7,25,147,21
148,7,26,148,22
149,7,27,149,22
150,7,28,150,22
151,7,29,151,22
152,7,30,152,22
153,7,31,153,22
154,8,1,154,22
155,8,2,155,23
156,8,3,156,23
157,8,4,157,23
158,8,5,158,23
159,8,6,159,23
160,8,7,160,23
161,8,8,161,23
162,8,9,162,24
163,8,10,163,24
164,8,11,164,24
165,8,12,165,24
166,8,13,166,24
167,8,14,167,24
168,8,15,168,24
169,8,16,169,25
170,8,17,170,25
171,8,18,171,25
172,8,19,172,25
173,8,20,173,25
174,8,21,174,25
175,8,22,175,25
176,8,23,176,26
177,8,24,177,26
178,8,25,178,26
179,8,26,179,26
180,8,27,180,26
181,8,28,181,26
182,8,29,182,26
183,8,30,183,27
184,8,31,184,27
185,9,1,185,27
186,9,2,186,27
187,9,3,187,27
188,9,4,188,27
189,9,5,189,27
190,9,6,190,28
191,9,7,191,28
192,9,8,192,28
193,9,9,193,28
194,9,10,194,28
195,9,11,195,28
196,9,12,196,28
197,9,13,197,29
198,9,14,198,29
199,9,15,199,29
200,9,16,200,29
201,9,17,201,29
202,9,18,202,29
203,9,19,203,29
204,9,20,204,30
205,9,21,205,30
206,9,22,206,30
207,9,23,207,30
208,9,24,208,30
209,9,25,209,30
210,9,26,210,30
211,9,27,211,31
212,9,28,212,31
213,9,29,213,31
214,9,30,214,31
215,10,1,215,31
216,10,2,216,31
217,10,3,217,31
218,10,4,218,32
219,10,5,219,32
220,10,6,220,32
221,10,7,221,32
222,10,8,222,32
223,10,9,223,32
224,10,10,224,32
225,10,11,225,33
226,10,12,226,33
227,10,13,227,33
228,10,14,228,33
229,10,15,229,33
230,10,16,230,33
231,10,17,231,33
232,10,18,232,34
233,10,19,233,34
234,10,20,234,34
235,10,21,235,34
236,10,22,236,34
237,10,23,237,34
238,10,24,238,34
239,10,25,239,35
240,10,26,240,35
241,10,27,241,35
242,10,28,242,35
243,10,29,243,35
244,10,30,244,35
245,10,31,245,35
246,11,1,246,36
247,11,2,247,36
248,11,3,248,36
249,11,4,249,36
250,11,5,250,36
251,11,6,251,36
252,11,7,252,36
253,11,8,253,37
254,11,9,254,37
255,11,10,255,37
256,11,11,256,37
257,11,12,257,37
258,11,13,258,37
259,11,14,259,37
260,11,15,260,38
261,11,16,261,38
262,11,17,262,38
263,11,18,263,38
264,11,19,264,38
265,11,20,265,38
266,11,21,266,38
267,11,22,267,39
268,11,23,268,39
269,11,24,269,39
270,11,25,270,39
271,11,26,271,39
272,11,27,272,39
273,11,28,273,39
274,11,29,274,40
275,11,30,275,40
276,12,1,276,40
277,12,2,277,40
278,12,3,278,40
279,12,4,279,40
280,12,5,280,40
281,12,6,281,41
282,12,7,282,41
283,12,8,283,41
284,12,9,284,41
285,12,10,285,41
286,12,11,286,41
287,12,12,287,41
288,12,13,288,42
289,12,14,289,42
290,12,15,290,42
291,12,16,291,42
292,12,17,292,42
293,12,18,293,42
294,12,19,294,42
295,12,20,295,43
296,12,21,296,43
297,12,22,297,43
298,12,23,298,43
299,12,24,299,43
300,12,25,300,43
301,12,26,301,43
302,12,27,302,44
303,12,28,303,44
304,12,29,304,44
305,12,30,305,44
306,12,31,306,44
307,2,29,0,-1
308,2,28,-1,-1
309,2,27,-2,-1
310,2,26,-3,-1
311,2,25,-4,-1
312,2,24,-5,-1
313,2,23,-6,-1
314,2,22,-7,-1
315,2,21,-8,-2
316,2,20,-9,-2
317,2,19,-10,-2
318,2,18,-11,-2
319,2,17,-12,-2
320,2,16,-13,-2
321,2,15,-14,-2
322,2,14,-15,-3
323,2,13,-16,-3
324,2,12,-17,-3
325,2,11,-18,-3
326,2,10,-19,-3
327,2,9,-20,-3
328,2,8,-21,-3
329,2,7,-22,-4
330,2,6,-23,-4
331,2,5,-24,-4
332,2,4,-25,-4
333,2,3,-26,-4
334,2,2,-27,-4
335,2,1,-28,-4
336,1,31,-29,-5
337,1,30,-30,-5
338,1,29,-31,-5
339,1,28,-32,-5
340,1,27,-33,-5
341,1,26,-34,-5
342,1,25,-35,-5
343,1,24,-36,-6
344,1,23,-37,-6
345,1,22,-38,-6
346,1,21,-39,-6
347,1,20,-40,-6
348,1,19,-41,-6
349,1,18,-42,-6
350,1,17,-43,-7
351,1,16,-44,-7
352,1,15,-45,-7
353,1,14,-46,-7
354,1,13,-47,-7
355,1,12,-48,-7
356,1,11,-49,-7
357,1,10,-50,-8
358,1,9,-51,-8
359,1,8,-52,-8
360,1,7,-53,-8
361,1,6,-54,-8
362,1,5,-55,-8
363,1,4,-56,-8
364,1,3,-57,-8
365,1,2,-58,44
366,1,1,-59,44
